Metric,Mean,Std,Sheet,Year
xG+xAG,0.0,0.0,standard_stats_2024,2024
npxG.1,0.0,0.0,standard_stats_2024,2024
npxG+xAG.1,0.0,0.0,standard_stats_2024,2024
GA,25.0,26.870057685088806,goalkeeping_2024,2024
GA90,1.2449999999999999,0.5444722215136415,goalkeeping_2024,2024
SoTA,65.5,71.4177848998413,goalkeeping_2024,2024
Saves,41.5,45.96194077712559,goalkeeping_2024,2024
Save%,63.6,5.091168824543144,goalkeeping_2024,2024
W,5.5,4.949747468305833,goalkeeping_2024,2024
D,7.0,4.242640687119285,goalkeeping_2024,2024
L,4.5,4.949747468305833,goalkeeping_2024,2024
CS,3.5,0.7071067811865476,goalkeeping_2024,2024
CS%,28.85,19.869700551341985,goalkeeping_2024,2024
PKA,3.0,4.242640687119285,goalkeeping_2024,2024
PKsv,0.0,0.0,goalkeeping_2024,2024
PKm,0.0,0.0,goalkeeping_2024,2024
Save%.1,0.0,,goalkeeping_2024,2024
GA,25.0,26.870057685088806,advanced_goalkeeping_2024,2024
PKA,3.0,4.242640687119285,advanced_goalkeeping_2024,2024
FK,1.5,0.7071067811865476,advanced_goalkeeping_2024,2024
CK,2.0,2.8284271247461903,advanced_goalkeeping_2024,2024
OG,1.0,1.4142135623730951,advanced_goalkeeping_2024,2024
PSxG,22.05,24.112341238461273,advanced_goalkeeping_2024,2024
PSxG/SoT,0.315,0.021213203435596444,advanced_goalkeeping_2024,2024
PSxG+/-,-1.95,1.3435028842544403,advanced_goalkeeping_2024,2024
/90,-0.13,0.028284271247461894,advanced_goalkeeping_2024,2024
Cmp,70.5,71.4177848998413,advanced_goalkeeping_2024,2024
Att,260.0,244.65894629054543,advanced_goalkeeping_2024,2024
Cmp%,25.45,3.464823227814082,advanced_goalkeeping_2024,2024
Att (GK),424.0,400.2224381515859,advanced_goalkeeping_2024,2024
Thr,68.0,46.66904755831214,advanced_goalkeeping_2024,2024
Launch%,41.2,3.111269837220808,advanced_goalkeeping_2024,2024
AvgLen,36.3,2.1213203435596424,advanced_goalkeeping_2024,2024
Att.1,113.0,97.58073580374356,advanced_goalkeeping_2024,2024
Launch%.1,70.95,2.4748737341529163,advanced_goalkeeping_2024,2024
AvgLen.1,52.1,0.14142135623731153,advanced_goalkeeping_2024,2024
Opp,204.5,210.0107140124046,advanced_goalkeeping_2024,2024
Stp,12.0,11.313708498984761,advanced_goalkeeping_2024,2024
Stp%,6.4,0.9899494936611661,advanced_goalkeeping_2024,2024
#OPA,21.5,17.67766952966369,advanced_goalkeeping_2024,2024
#OPA/90,1.275,0.021213203435596444,advanced_goalkeeping_2024,2024
AvgDist,15.100000000000001,1.4142135623730963,advanced_goalkeeping_2024,2024
