Metric,Mean_2018,Std_2018,Mean_2024,Std_2024,Avg_Diff,p-value,Significant
90s,13.5,10.852137526261307,11.421428571428574,9.29020812646127,2.0785714285714256,8.001147850876407e-63,True
Age,22.4,2.7968235951204043,21.4,4.406043419961027,1.0,0.0005620036227159911,True
Ast,3.0,3.0912061651652345,1.2142857142857142,1.8050600428356276,1.7857142857142858,0.0,True
Gls,1.5,2.0138409955990952,2.5714285714285716,3.936306072259307,-1.0714285714285716,0.0,True
PK,0.2,0.6324555320336759,0.5,1.4005493427717788,-0.3,0.0,True
PKatt,0.3,0.948683298050514,0.5714285714285714,1.5045717874984446,-0.2714285714285714,0.0,True
PrgC,20.0,15.783254135668953,22.214285714285715,22.824341161368697,-2.2142857142857153,0.0,True
PrgP,88.8,91.17845749469066,53.857142857142854,53.11070751503178,34.94285714285714,0.0,True
PrgR,65.7,61.45468068241651,50.07142857142857,54.72513736246498,15.628571428571433,0.0,True
npxG,1.6500000000000004,1.5700318468107584,1.7785714285714285,2.7465162749111185,-0.12857142857142811,7.774292583892524e-16,True
xAG,2.78,2.457550722885604,1.6214285714285714,1.834363679832903,1.1585714285714284,0.0,True
xG,1.89,2.1604783420961815,2.235714285714286,3.5367536489874967,-0.3457142857142863,0.0,True
