Metric,Mean_2018,Std_2018,Mean_2024,Std_2024,Avg_Diff,p-value,Significant
#OPA,,,,,,,False
#OPA/90,,,,,,,False
/90,,,,,,,False
1/3,44.400000000000006,46.55171878847062,31.25,33.532472182018374,13.150000000000006,0.6776899121039448,False
90s,13.5,10.852137526261307,11.421428571428574,9.29020812646127,2.0785714285714256,8.001147850876407e-63,True
A-xAG,0.2199999999999999,1.2541486709672376,-0.4071428571428571,1.12418468624653,0.627142857142857,,False
Age,22.4,2.7968235951204043,21.4,4.406043419961027,1.0,0.0005620036227159911,True
Ast,3.0,3.0912061651652345,1.2142857142857142,1.8050600428356276,1.7857142857142858,0.0,True
Ast.1,0.1699999999999999,0.143681747081682,0.105,0.1629889094858439,0.0649999999999999,,False
Att,241.33333333333334,215.7752913400781,160.16666666666666,149.5707227278021,81.16666666666669,0.7705766134761568,False
Att (GK),,,,,,,False
Att 3rd,144.25,118.36430392728039,94.32142857142857,86.58908392521504,49.92857142857143,0.7957775229373429,False
Att Pen,24.3,23.209432948216932,25.428571428571427,35.12333058877463,-1.1285714285714263,,False
Att.1,325.7,290.22062488925746,191.57142857142856,168.07814770595178,134.12857142857143,,False
Att.2,208.3,201.3604010502341,172.42857142857142,178.79154784949307,35.871428571428595,,False
Att.3,81.7,80.41151106098623,52.857142857142854,51.42112278171168,28.84285714285715,,False
AvgDist,,,,,,,False
AvgLen,,,,,,,False
AvgLen.1,,,,,,,False
Blocks,21.9,17.278438715475552,12.857142857142858,12.690742494233543,9.042857142857141,,False
CK,,,,,,,False
CPA,3.7,3.529242915351047,6.142857142857143,8.328423462014728,-2.442857142857143,,False
CS,,,,,,,False
CS%,,,,,,,False
Carries,422.0,363.52563718242607,324.64285714285717,274.8461407749818,97.35714285714283,,False
Clr,12.3,15.951663096854684,10.571428571428571,11.972495952835372,1.7285714285714295,,False
Cmp,480.6,458.1889954544473,342.2857142857143,339.0079256099681,138.31428571428575,,False
Cmp%,64.3,9.513265591910184,75.39999999999999,7.450348468876627,-11.099999999999994,,False
Cmp%.1,77.09,9.178773822733016,81.05,7.005574703268597,-3.9599999999999937,,False
Cmp%.2,65.19,10.968181253061054,81.175,8.028033269849981,-15.985,,False
Cmp%.3,40.81,9.178894874172553,61.65833333333334,22.00113461261542,-20.848333333333336,,False
Cmp.1,268.7,249.1073173464713,161.71428571428572,147.86294515344454,106.98571428571427,,False
Cmp.2,153.3,158.28809880159096,144.85714285714286,157.62851027890625,8.44285714285715,,False
Cmp.3,35.4,36.329357580642984,29.285714285714285,31.48730775170449,6.114285714285714,,False
CrdR,0.0,0.0,0.0714285714285714,0.2672612419124244,-0.0714285714285714,,False
CrdY,2.5,2.0138409955990952,1.9285714285714288,2.4007782620925786,0.5714285714285712,,False
CrsPA,3.0,4.594682917363407,2.642857142857143,3.5864519183501353,0.3571428571428572,,False
D,,,,,,,False
Def 3rd,64.35,64.32133793323301,48.67857142857142,56.623694689093405,15.67142857142857,0.8437583220775764,False
Def Pen,15.7,21.071571159054823,14.071428571428571,18.549162476279857,1.6285714285714281,,False
Dis,19.4,15.10114050144705,9.785714285714286,9.625115954774632,9.614285714285712,,False
Dist,19.68,5.367349852994907,19.39166666666667,6.169198906788073,0.28833333333333044,,False
Err,0.0,0.0,0.2857142857142857,0.6112498455021267,-0.2857142857142857,,False
FK,0.7,1.0593499054713802,0.8571428571428571,3.2071349029490928,-0.15714285714285714,,False
G+A,4.5,4.927248499698161,3.7857142857142856,5.479732888332471,0.7142857142857144,,False
G+A-PK,0.283,0.2187362694103462,0.3414285714285714,0.4638775890064291,-0.05842857142857144,,False
G+A.1,0.291,0.2295623856142135,0.37,0.4851962331009842,-0.07900000000000001,,False
G-PK,1.3,1.5670212364724212,2.0714285714285716,3.0499504589743425,-0.7714285714285716,,False
G-PK.1,0.1129999999999999,0.1410319112825179,0.2371428571428571,0.3390581654531263,-0.1241428571428572,,False
G-xG,-0.39,0.5173651192984183,0.3357142857142857,0.8508883528471811,-0.7257142857142858,,False
G/Sh,0.06,0.071024252508875,0.1691666666666667,0.2842680659752926,-0.10916666666666669,,False
G/SoT,0.2233333333333333,0.3201952529317073,0.2883333333333333,0.3559324076111625,-0.06499999999999997,,False
GA,,,,,,,False
GA90,,,,,,,False
Gls,1.5,2.0138409955990952,2.5714285714285716,3.936306072259307,-1.0714285714285716,0.0,True
Gls.1,0.1199999999999999,0.1447603383373897,0.2657142857142857,0.3554783188393283,-0.1457142857142858,,False
Int,21.4,23.305697920370367,8.928571428571429,9.817286838995836,12.47142857142857,,False
KP,20.7,20.472474745917314,14.642857142857142,14.55285931649565,6.057142857142857,,False
L,,,,,,,False
Launch%,,,,,,,False
Launch%.1,,,,,,,False
Live,832.2,708.5516996741388,559.7857142857143,491.59382523684025,272.4142857142857,,False
Lost,18.8,13.273197722394473,10.142857142857142,9.355024506460872,8.657142857142858,,False
MP,18.3,11.411982007229652,13.823529411764708,11.125619612619598,4.476470588235292,,False
Mid 3rd,228.3,213.23661010826655,148.85714285714286,154.7396935476084,79.44285714285715,0.7877447339501751,False
Min,1215.0,975.4986189408756,1027.571428571429,836.5296182430137,187.4285714285711,,False
Mis,26.2,17.706244974898294,21.571428571428573,19.409412013898688,4.628571428571426,,False
OG,,,,,,,False
Opp,,,,,,,False
PK,0.2,0.6324555320336759,0.5,1.4005493427717788,-0.3,0.0,True
PKA,,,,,,,False
PKatt,0.3,0.948683298050514,0.5714285714285714,1.5045717874984446,-0.2714285714285714,0.0,True
PKm,,,,,,,False
PKsv,,,,,,,False
