Mean,Std,Metric,Sheet,Year
23.071428571428573,3.8523576340546763,Age,standard_stats_2018,2018
13.357142857142858,12.701345433621423,MP,standard_stats_2018,2018
8.0,9.429903335828895,Starts,standard_stats_2018,2018
803.4615384615385,843.3523003846628,Min,standard_stats_2018,2018
8.915384615384614,9.376019602674878,90s,standard_stats_2018,2018
3.6923076923076925,5.750139351711623,Gls,standard_stats_2018,2018
1.6923076923076923,2.3588350014578303,Ast,standard_stats_2018,2018
5.384615384615385,7.5887906539674415,G+A,standard_stats_2018,2018
3.5384615384615383,5.562004803656452,G-PK,standard_stats_2018,2018
0.15384615384615385,0.5547001962252291,PK,standard_stats_2018,2018
0.23076923076923078,0.599144689515278,PKatt,standard_stats_2018,2018
1.9230769230769231,2.361550989693654,CrdY,standard_stats_2018,2018
0.07692307692307693,0.2773500981126146,CrdR,standard_stats_2018,2018
3.523076923076923,4.941854214454639,xG,standard_stats_2018,2018
3.338461538461538,4.668429154354896,npxG,standard_stats_2018,2018
1.8692307692307693,2.2291196376539233,xAG,standard_stats_2018,2018
5.223076923076923,6.376670218611205,npxG+xAG,standard_stats_2018,2018
17.23076923076923,18.051564318888666,PrgC,standard_stats_2018,2018
34.61538461538461,39.231234285830766,PrgP,standard_stats_2018,2018
72.84615384615384,80.61621647642835,PrgR,standard_stats_2018,2018
0.33153846153846156,0.324521343772798,Gls.1,standard_stats_2018,2018
0.15846153846153846,0.2532405363103807,Ast.1,standard_stats_2018,2018
0.49,0.34734708865916814,G+A.1,standard_stats_2018,2018
0.32538461538461544,0.32222185381647084,G-PK.1,standard_stats_2018,2018
0.48307692307692307,0.3465156229134221,G+A-PK,standard_stats_2018,2018
0.31153846153846143,0.2390552988273548,xG.1,standard_stats_2018,2018
0.16692307692307692,0.1595506510685878,xAG.1,standard_stats_2018,2018
0.47769230769230775,0.23434852414562113,xG+xAG,standard_stats_2018,2018
0.30076923076923073,0.22735660456873835,npxG.1,standard_stats_2018,2018
0.46692307692307694,0.22403067555525424,npxG+xAG.1,standard_stats_2018,2018
23.23076923076923,3.961351750641149,Age,shooting_2018,2018
8.915384615384614,9.376019602674878,90s,shooting_2018,2018
3.6923076923076925,5.750139351711623,Gls,shooting_2018,2018
22.076923076923077,26.815609690568724,Sh,shooting_2018,2018
9.461538461538462,11.997328762516155,SoT,shooting_2018,2018
37.6,27.568427264140077,SoT%,shooting_2018,2018
1.9684615384615383,1.074079808905016,Sh/90,shooting_2018,2018
0.7884615384615385,0.6438794679369495,SoT/90,shooting_2018,2018
0.18666666666666668,0.2686441828324168,G/Sh,shooting_2018,2018
0.43000000000000005,0.3287687468250121,G/SoT,shooting_2018,2018
17.325,6.603322166634279,Dist,shooting_2018,2018
0.38461538461538464,0.7679476477883045,FK,shooting_2018,2018
0.15384615384615385,0.5547001962252291,PK,shooting_2018,2018
0.23076923076923078,0.599144689515278,PKatt,shooting_2018,2018
3.523076923076923,4.941854214454639,xG,shooting_2018,2018
3.338461538461538,4.668429154354896,npxG,shooting_2018,2018
0.15750000000000003,0.1353194872749806,npxG/Sh,shooting_2018,2018
0.16923076923076924,1.6291023169139374,G-xG,shooting_2018,2018
0.19999999999999998,1.6253204812179862,np:G-xG,shooting_2018,2018
23.23076923076923,3.961351750641149,Age,passing_2018,2018
8.915384615384614,9.376019602674878,90s,passing_2018,2018
202.46153846153845,211.74694621356227,Cmp,passing_2018,2018
310.0769230769231,315.1069822400168,Att,passing_2018,2018
63.91538461538461,13.544546636552424,Cmp%,passing_2018,2018
2814.6153846153848,2959.944975233536,TotDist,passing_2018,2018
1072.6923076923076,1180.9254410994358,PrgDist,passing_2018,2018
122.38461538461539,127.66266647010164,Cmp.1,passing_2018,2018
158.0,161.4192264467485,Att.1,passing_2018,2018
75.83846153846154,10.764489340848026,Cmp%.1,passing_2018,2018
55.38461538461539,58.208731391917574,Cmp.2,passing_2018,2018
86.23076923076923,87.2402371291996,Att.2,passing_2018,2018
60.26666666666666,10.912572676699222,Cmp%.2,passing_2018,2018
11.615384615384615,16.327576170079364,Cmp.3,passing_2018,2018
29.692307692307693,38.09283531799783,Att.3,passing_2018,2018
41.26666666666667,9.781739326031145,Cmp%.3,passing_2018,2018
1.6923076923076923,2.3588350014578303,Ast,passing_2018,2018
1.8692307692307693,2.2291196376539233,xAG,passing_2018,2018
1.5,1.6822603841260722,xA,passing_2018,2018
-0.17692307692307693,0.9238992064017284,A-xAG,passing_2018,2018
12.23076923076923,14.822021039396336,KP,passing_2018,2018
20.53846153846154,24.544569611950777,1/3,passing_2018,2018
11.307692307692308,11.73587530739694,PPA,passing_2018,2018
1.5384615384615385,1.7134460703206962,CrsPA,passing_2018,2018
34.61538461538461,39.231234285830766,PrgP,passing_2018,2018
23.23076923076923,3.961351750641149,Age,possession_2018,2018
8.915384615384614,9.376019602674878,90s,possession_2018,2018
419.7692307692308,414.68545385753004,Touches,possession_2018,2018
5.3076923076923075,4.714951667914448,Def Pen,possession_2018,2018
43.53846153846154,44.336996185682565,Def 3rd,possession_2018,2018
176.46153846153845,182.86270595933232,Mid 3rd,possession_2018,2018
205.92307692307693,210.73540342431846,Att 3rd,possession_2018,2018
37.38461538461539,46.372654408854764,Att Pen,possession_2018,2018
419.53846153846155,414.4841403046714,Live,possession_2018,2018
19.46153846153846,19.96503353622438,Att,possession_2018,2018
8.692307692307692,8.586662286987258,Succ,possession_2018,2018
45.388888888888886,11.019691969883329,Succ%,possession_2018,2018
10.692307692307692,11.426465007345998,Tkld,possession_2018,2018
