Mean,Std,Metric,Sheet,Year
0.15,0.21213203435596426,xAG,passing_2018,2018
0.0,0.0,xA,passing_2018,2018
-0.15,0.21213203435596426,A-xAG,passing_2018,2018
0.5,0.7071067811865476,KP,passing_2018,2018
3.0,1.4142135623730951,1/3,passing_2018,2018
0.0,0.0,PPA,passing_2018,2018
0.0,0.0,CrsPA,passing_2018,2018
0.0,0.0,PrgP,passing_2018,2018
30.0,4.242640687119285,Age,defensive_action_2018,2018
17.0,19.79898987322333,90s,defensive_action_2018,2018
0.5,0.7071067811865476,Tkl,defensive_action_2018,2018
0.0,0.0,TklW,defensive_action_2018,2018
0.5,0.7071067811865476,Def 3rd,defensive_action_2018,2018
0.0,0.0,Mid 3rd,defensive_action_2018,2018
0.0,0.0,Att 3rd,defensive_action_2018,2018
0.5,0.7071067811865476,Tkl.1,defensive_action_2018,2018
0.5,0.7071067811865476,Att,defensive_action_2018,2018
100.0,,Tkl%,defensive_action_2018,2018
0.0,0.0,Lost,defensive_action_2018,2018
0.0,0.0,Blocks,defensive_action_2018,2018
0.0,0.0,Sh,defensive_action_2018,2018
0.0,0.0,Pass,defensive_action_2018,2018
1.5,2.1213203435596424,Int,defensive_action_2018,2018
2.0,2.8284271247461903,Tkl+Int,defensive_action_2018,2018
11.5,16.263455967290593,Clr,defensive_action_2018,2018
0.5,0.7071067811865476,Err,defensive_action_2018,2018
30.0,4.242640687119285,Age,possesion_2018,2018
17.0,19.79898987322333,90s,possesion_2018,2018
506.0,595.383909759073,Touches,possesion_2018,2018
404.5,473.0544366138003,Def Pen,possesion_2018,2018
501.0,589.7270555095806,Def 3rd,possesion_2018,2018
5.5,4.949747468305833,Mid 3rd,possesion_2018,2018
0.0,0.0,Att 3rd,possesion_2018,2018
0.0,0.0,Att Pen,possesion_2018,2018
506.0,595.383909759073,Live,possesion_2018,2018
0.0,0.0,Att,possesion_2018,2018
0.0,0.0,Succ,possesion_2018,2018
,,Succ%,possesion_2018,2018
0.0,0.0,Tkld,possesion_2018,2018
,,Tkld%,possesion_2018,2018
214.0,248.90158697766472,Carries,possesion_2018,2018
1543.0,1711.198410471445,TotDist,possesion_2018,2018
1029.0,1149.7556262093262,PrgDist,possesion_2018,2018
0.0,0.0,PrgC,possesion_2018,2018
0.0,0.0,1/3,possesion_2018,2018
0.0,0.0,CPA,possesion_2018,2018
1.0,1.4142135623730951,Mis,possesion_2018,2018
0.0,0.0,Dis,possesion_2018,2018
110.0,140.0071426749364,Rec,possesion_2018,2018
0.0,0.0,PrgR,possesion_2018,2018
26.5,4.795831523312719,Age,standard_stats_2024,2024
8.5,12.767145334803704,MP,standard_stats_2024,2024
8.5,12.767145334803704,Starts,standard_stats_2024,2024
1530.0,1272.7922061357856,Min,standard_stats_2024,2024
17.0,14.142135623730951,90s,standard_stats_2024,2024
0.0,0.0,Gls,standard_stats_2024,2024
0.0,0.0,Ast,standard_stats_2024,2024
0.0,0.0,G+A,standard_stats_2024,2024
0.0,0.0,G-PK,standard_stats_2024,2024
0.0,0.0,PK,standard_stats_2024,2024
0.0,0.0,PKatt,standard_stats_2024,2024
1.5,0.7071067811865476,CrdY,standard_stats_2024,2024
0.0,0.0,CrdR,standard_stats_2024,2024
0.0,0.0,xG,standard_stats_2024,2024
0.0,0.0,npxG,standard_stats_2024,2024
0.0,0.0,xAG,standard_stats_2024,2024
0.0,0.0,npxG+xAG,standard_stats_2024,2024
0.0,0.0,PrgC,standard_stats_2024,2024
0.0,0.0,PrgP,standard_stats_2024,2024
0.0,0.0,PrgR,standard_stats_2024,2024
0.0,0.0,Gls.1,standard_stats_2024,2024
0.0,0.0,Ast.1,standard_stats_2024,2024
0.0,0.0,G+A.1,standard_stats_2024,2024
0.0,0.0,G-PK.1,standard_stats_2024,2024
0.0,0.0,G+A-PK,standard_stats_2024,2024
0.0,0.0,xG.1,standard_stats_2024,2024
0.0,0.0,xAG.1,standard_stats_2024,2024
0.0,0.0,xG+xAG,standard_stats_2024,2024
0.0,0.0,npxG.1,standard_stats_2024,2024
0.0,0.0,npxG+xAG.1,standard_stats_2024,2024
30.0,4.242640687119285,Age,goalkeeping_2024,2024
17.0,14.142135623730951,MP,goalkeeping_2024,2024
17.0,14.142135623730951,Starts,goalkeeping_2024,2024
1530.0,1272.7922061357856,Min,goalkeeping_2024,2024
17.0,14.142135623730951,90s,goalkeeping_2024,2024
25.0,26.870057685088806,GA,goalkeeping_2024,2024
1.2449999999999999,0.5444722215136415,GA90,goalkeeping_2024,2024
65.5,71.4177848998413,SoTA,goalkeeping_2024,2024
41.5,45.96194077712559,Saves,goalkeeping_2024,2024
63.6,5.091168824543144,Save%,goalkeeping_2024,2024
5.5,4.949747468305833,W,goalkeeping_2024,2024
7.0,4.242640687119285,D,goalkeeping_2024,2024
4.5,4.949747468305833,L,goalkeeping_2024,2024
3.5,0.7071067811865476,CS,goalkeeping_2024,2024
28.85,19.869700551341985,CS%,goalkeeping_2024,2024
3.0,4.242640687119285,PKatt,goalkeeping_2024,2024
3.0,4.242640687119285,PKA,goalkeeping_2024,2024
0.0,0.0,PKsv,goalkeeping_2024,2024
0.0,0.0,PKm,goalkeeping_2024,2024
0.0,,Save%.1,goalkeeping_2024,2024
30.0,4.242640687119285,Age,advanced_goalkeeping_2024,2024
17.0,14.142135623730951,90s,advanced_goalkeeping_2024,2024
25.0,26.870057685088806,GA,advanced_goalkeeping_2024,2024
3.0,4.242640687119285,PKA,advanced_goalkeeping_2024,2024
1.5,0.7071067811865476,FK,advanced_goalkeeping_2024,2024
2.0,2.8284271247461903,CK,advanced_goalkeeping_2024,2024
1.0,1.4142135623730951,OG,advanced_goalkeeping_2024,2024
22.05,24.112341238461273,PSxG,advanced_goalkeeping_2024,2024
0.315,0.021213203435596444,PSxG/SoT,advanced_goalkeeping_2024,2024
-1.95,1.3435028842544403,PSxG+/-,advanced_goalkeeping_2024,2024
-0.13,0.028284271247461894,/90,advanced_goalkeeping_2024,2024
70.5,71.4177848998413,Cmp,advanced_goalkeeping_2024,2024
260.0,244.65894629054543,Att,advanced_goalkeeping_2024,2024
25.45,3.464823227814082,Cmp%,advanced_goalkeeping_2024,2024
424.0,400.2224381515859,Att (GK),advanced_goalkeeping_2024,2024
68.0,46.66904755831214,Thr,advanced_goalkeeping_2024,2024
41.2,3.111269837220808,Launch%,advanced_goalkeeping_2024,2024
36.3,2.1213203435596424,AvgLen,advanced_goalkeeping_2024,2024
113.0,97.58073580374356,Att.1,advanced_goalkeeping_2024,2024
70.95,2.4748737341529163,Launch%.1,advanced_goalkeeping_2024,2024
52.1,0.14142135623731153,AvgLen.1,advanced_goalkeeping_2024,2024
204.5,210.0107140124046,Opp,advanced_goalkeeping_2024,2024
12.0,11.313708498984761,Stp,advanced_goalkeeping_2024,2024
6.4,0.9899494936611661,Stp%,advanced_goalkeeping_2024,2024
